F1: 0.10000,Precision: 0.10000,Recall: 0.10000,,
3,18,Rome,http://dbpedia.org/resource/American_Academy_in_Rome,"http://dbpedia.org/resource/Rome,_Italy http://dbpedia.org/resource/Roma,_Italia http://dbpedia.org/resource/Capital_of_Italy http://dbpedia.org/resource/Symbols_and_trivia_of_Rome http://dbpedia.org/resource/Città_Eterna http://dbpedia.org/resource/Rome_(Italy) http://dbpedia.org/resource/Italian_capital http://dbpedia.org/resource/UN/LOCODE:ITROM http://dbpedia.org/resource/Rōma http://dbpedia.org/resource/Capital_city_of_italy http://dbpedia.org/resource/City_of_the_Seven_Hills http://dbpedia.org/resource/Rome,_Republic_and_Empire http://dbpedia.org/resource/The_weather_in_Rome http://dbpedia.org/resource/Capital_of_Lazio http://dbpedia.org/resource/Demographics_of_Rome http://dbpedia.org/resource/Roma_(city) http://dbpedia.org/resource/Rome,_Lazio http://dbpedia.org/resource/Rome_Italy http://dbpedia.org/resource/ROME http://dbpedia.org/resource/Roma,_Italy http://dbpedia.org/resource/Comune_di_Roma http://dbpedia.org/resource/City_of_Rome http://dbpedia.org/resource/Rome http://dbpedia.org/resource/Rome,Italy http://dbpedia.org/resource/Symbols_and_Trivia_of_Rome"
3,19,Kiev Kharkov,http://dbpedia.org/resource/European_route_E105,"http://dbpedia.org/resource/Keiv http://dbpedia.org/resource/Kiyeff http://dbpedia.org/resource/Konugard http://dbpedia.org/resource/Kiev,_Ukraine http://dbpedia.org/resource/Kiev,_Misto_Kyyiv http://dbpedia.org/resource/Kiyiv http://dbpedia.org/resource/Кіеў http://dbpedia.org/resource/Kyiv,_Ukraine http://dbpedia.org/resource/Kyjev http://dbpedia.org/resource/UN/LOCODE:UAIEV http://dbpedia.org/resource/Kievan http://dbpedia.org/resource/M._Kyiv http://dbpedia.org/resource/كييف http://dbpedia.org/resource/Kiyeff_Kiev http://dbpedia.org/resource/Кыив http://dbpedia.org/resource/Left-bank_(Kiev) http://dbpedia.org/resource/Kyjiv http://dbpedia.org/resource/Kiev_Municipality http://dbpedia.org/resource/Київ http://dbpedia.org/resource/Kiiow http://dbpedia.org/resource/Kijev http://dbpedia.org/resource/Kiovia http://dbpedia.org/resource/Kiïv http://dbpedia.org/resource/Kijiv http://dbpedia.org/resource/Kiiev http://dbpedia.org/resource/Kyiv http://dbpedia.org/resource/Kijevas http://dbpedia.org/resource/Kiyew http://dbpedia.org/resource/Kyyiv http://dbpedia.org/resource/Kyowia http://dbpedia.org/resource/Kyev http://dbpedia.org/resource/Kÿowia http://dbpedia.org/resource/Kiyv http://dbpedia.org/resource/Kiev,_USSR http://dbpedia.org/resource/קיעוו http://dbpedia.org/resource/Kiow http://dbpedia.org/resource/Kyïv http://dbpedia.org/resource/Киев http://dbpedia.org/resource/Kieff, http://dbpedia.org/resource/Kiev_(Ukraine) http://dbpedia.org/resource/UAIEV http://dbpedia.org/resource/Kiewenburg http://dbpedia.org/resource/Kieff http://dbpedia.org/resource/Kiyev http://dbpedia.org/resource/Ки́ев http://dbpedia.org/resource/Kænugarðr http://dbpedia.org/resource/Capital_of_Ukraine http://dbpedia.org/resource/Capital_city_of_Ukraine http://dbpedia.org/resource/Koenugarðr http://dbpedia.org/resource/Kyiv/Kiev http://dbpedia.org/resource/Kiov http://dbpedia.org/resource/КИЇВ http://dbpedia.org/resource/Kiev http://dbpedia.org/resource/Kyev,_Ukraine http://dbpedia.org/resource/Kyiv_(Koncha_Zaspa) http://dbpedia.org/resource/Koenugard http://dbpedia.org/resource/Kiyiw http://dbpedia.org/resource/Left_Bank_(Kiev) http://dbpedia.org/resource/Kijew http://dbpedia.org/resource/Kiev_(Kyiv)"
3,20,Barcelona,http://dbpedia.org/resource/Port_of_Barcelona,"http://dbpedia.org/resource/Barcelona http://dbpedia.org/resource/Barcellona http://dbpedia.org/resource/Barcelona_(Spain) http://dbpedia.org/resource/Barcelona_City http://dbpedia.org/resource/City_of_Barcelona http://dbpedia.org/resource/Barcelone http://dbpedia.org/resource/Barcelona,_Barcelona http://dbpedia.org/resource/Barcelona,_Spain http://dbpedia.org/resource/Barcelona,_Catalonia http://dbpedia.org/resource/UN/LOCODE:ESBCN http://dbpedia.org/resource/The_weather_in_Barcelona"
3,21,Split,http://dbpedia.org/resource/Croatian_National_Theatre_in_Split,"http://dbpedia.org/resource/Spalato_(spalatro) http://dbpedia.org/resource/Town_of_Split http://dbpedia.org/resource/Aspalathos http://dbpedia.org/resource/Spalatum http://dbpedia.org/resource/Split,_Croatia http://dbpedia.org/resource/Split,_Yugoslavia http://dbpedia.org/resource/Aspálathos http://dbpedia.org/resource/Split_(city_in_Croatia) http://dbpedia.org/resource/Spalathos http://dbpedia.org/resource/Split,Croatia http://dbpedia.org/resource/Split_(city) http://dbpedia.org/resource/Spalato_(city) http://dbpedia.org/resource/Spalatro http://dbpedia.org/resource/Spálathos http://dbpedia.org/resource/Split_(town) http://dbpedia.org/resource/City_of_Split http://dbpedia.org/resource/UN/LOCODE:HRSPU http://dbpedia.org/resource/Split_City"
3,22,Kiev,http://dbpedia.org/resource/Kiev_Pechersk_Lavra,"http://dbpedia.org/resource/Keiv http://dbpedia.org/resource/Kiyeff http://dbpedia.org/resource/Konugard http://dbpedia.org/resource/Kiev,_Ukraine http://dbpedia.org/resource/Kiev,_Misto_Kyyiv http://dbpedia.org/resource/Kiyiv http://dbpedia.org/resource/Кіеў http://dbpedia.org/resource/Kyiv,_Ukraine http://dbpedia.org/resource/Kyjev http://dbpedia.org/resource/UN/LOCODE:UAIEV http://dbpedia.org/resource/Kievan http://dbpedia.org/resource/M._Kyiv http://dbpedia.org/resource/كييف http://dbpedia.org/resource/Kiyeff_Kiev http://dbpedia.org/resource/Кыив http://dbpedia.org/resource/Left-bank_(Kiev) http://dbpedia.org/resource/Kyjiv http://dbpedia.org/resource/Kiev_Municipality http://dbpedia.org/resource/Київ http://dbpedia.org/resource/Kiiow http://dbpedia.org/resource/Kijev http://dbpedia.org/resource/Kiovia http://dbpedia.org/resource/Kiïv http://dbpedia.org/resource/Kijiv http://dbpedia.org/resource/Kiiev http://dbpedia.org/resource/Kyiv http://dbpedia.org/resource/Kijevas http://dbpedia.org/resource/Kiyew http://dbpedia.org/resource/Kyyiv http://dbpedia.org/resource/Kyowia http://dbpedia.org/resource/Kyev http://dbpedia.org/resource/Kÿowia http://dbpedia.org/resource/Kiyv http://dbpedia.org/resource/Kiev,_USSR http://dbpedia.org/resource/קיעוו http://dbpedia.org/resource/Kiow http://dbpedia.org/resource/Kyïv http://dbpedia.org/resource/Киев http://dbpedia.org/resource/Kieff, http://dbpedia.org/resource/Kiev_(Ukraine) http://dbpedia.org/resource/UAIEV http://dbpedia.org/resource/Kiewenburg http://dbpedia.org/resource/Kieff http://dbpedia.org/resource/Kiyev http://dbpedia.org/resource/Ки́ев http://dbpedia.org/resource/Kænugarðr http://dbpedia.org/resource/Capital_of_Ukraine http://dbpedia.org/resource/Capital_city_of_Ukraine http://dbpedia.org/resource/Koenugarðr http://dbpedia.org/resource/Kyiv/Kiev http://dbpedia.org/resource/Kiov http://dbpedia.org/resource/КИЇВ http://dbpedia.org/resource/Kiev http://dbpedia.org/resource/Kyev,_Ukraine http://dbpedia.org/resource/Kyiv_(Koncha_Zaspa) http://dbpedia.org/resource/Koenugard http://dbpedia.org/resource/Kiyiw http://dbpedia.org/resource/Left_Bank_(Kiev) http://dbpedia.org/resource/Kijew http://dbpedia.org/resource/Kiev_(Kyiv)"
3,23,Barcelona,http://dbpedia.org/resource/Port_of_Barcelona,"http://dbpedia.org/resource/Barcelona http://dbpedia.org/resource/Barcellona http://dbpedia.org/resource/Barcelona_(Spain) http://dbpedia.org/resource/Barcelona_City http://dbpedia.org/resource/City_of_Barcelona http://dbpedia.org/resource/Barcelone http://dbpedia.org/resource/Barcelona,_Barcelona http://dbpedia.org/resource/Barcelona,_Spain http://dbpedia.org/resource/Barcelona,_Catalonia http://dbpedia.org/resource/UN/LOCODE:ESBCN http://dbpedia.org/resource/The_weather_in_Barcelona"
3,24,Stuttgart,http://dbpedia.org/resource/Stuttgart_Airport,"http://dbpedia.org/resource/Stuttgart-Vaihingen http://dbpedia.org/resource/Stuttgart http://dbpedia.org/resource/Unterturkheim http://dbpedia.org/resource/Stuttgard http://dbpedia.org/resource/Bad_Cannstadt http://dbpedia.org/resource/Möhringen_(Stuttgart) http://dbpedia.org/resource/Stuttgart_UNRRA_displaced_persons_camp http://dbpedia.org/resource/Untertürkheim http://dbpedia.org/resource/City_of_Stuttgart http://dbpedia.org/resource/Stuttgart,_West_Germany http://dbpedia.org/resource/Untertuerkheim http://dbpedia.org/resource/Stuttgart,_Germany http://dbpedia.org/resource/Stoccarda http://dbpedia.org/resource/UN/LOCODE:DESTR"
3,25,ZÃ¼rich,http://dbpedia.org/resource/Zürich_Hauptbahnhof,http://dbpedia.org/resource/Zürich
3,26,Monaco,http://dbpedia.org/resource/Circuit_de_Monaco,"http://dbpedia.org/resource/Extreme_points_of_Monaco http://dbpedia.org/resource/ISO_3166-1:MC http://dbpedia.org/resource/Monaco,_Principality_and_Diocese_of http://dbpedia.org/resource/Hinduism_in_Monaco http://dbpedia.org/resource/Monaco http://dbpedia.org/resource/Monaco/Military http://dbpedia.org/resource/Islam_in_Monaco http://dbpedia.org/resource/Principaut_de_Monaco http://dbpedia.org/resource/Principat_de_Mónegue http://dbpedia.org/resource/Subdivisions_of_Monaco http://dbpedia.org/resource/Monegasques http://dbpedia.org/resource/Sports_in_Monaco http://dbpedia.org/resource/Principality_of_Monaco http://dbpedia.org/resource/List_of_cities_in_Monaco http://dbpedia.org/resource/The_weather_in_Monaco http://dbpedia.org/resource/Monocco http://dbpedia.org/resource/Geography_of_Monaco http://dbpedia.org/resource/Protestantism_in_Monaco http://dbpedia.org/resource/Mónegue http://dbpedia.org/resource/Administrative_divisions_of_Monaco http://dbpedia.org/resource/Monaco/Transnational_issues http://dbpedia.org/resource/Princedom_of_Monaco http://dbpedia.org/resource/Principato_di_Monaco http://dbpedia.org/resource/Geography_of_monaco http://dbpedia.org/resource/Quarters_of_Monaco http://dbpedia.org/resource/Administrative_divisions_(Monaco) http://dbpedia.org/resource/Monacco http://dbpedia.org/resource/Wards_of_Monaco http://dbpedia.org/resource/Climate_of_Monaco http://dbpedia.org/resource/Capital_of_Monaco http://dbpedia.org/resource/Religion_in_Monaco http://dbpedia.org/resource/Principality_and_Diocese_of_Monaco http://dbpedia.org/resource/Extreme_points_of_monaco http://dbpedia.org/resource/Culture_of_Monaco http://dbpedia.org/resource/Munegu http://dbpedia.org/resource/Sport_in_Monaco http://dbpedia.org/resource/Monaco/Geography http://dbpedia.org/resource/Principauté_de_Monaco http://dbpedia.org/resource/Principatu_de_Múnegu http://dbpedia.org/resource/Monégasques"
3,27,Monaco,http://dbpedia.org/resource/Circuit_de_Monaco,"http://dbpedia.org/resource/Extreme_points_of_Monaco http://dbpedia.org/resource/ISO_3166-1:MC http://dbpedia.org/resource/Monaco,_Principality_and_Diocese_of http://dbpedia.org/resource/Hinduism_in_Monaco http://dbpedia.org/resource/Monaco http://dbpedia.org/resource/Monaco/Military http://dbpedia.org/resource/Islam_in_Monaco http://dbpedia.org/resource/Principaut_de_Monaco http://dbpedia.org/resource/Principat_de_Mónegue http://dbpedia.org/resource/Subdivisions_of_Monaco http://dbpedia.org/resource/Monegasques http://dbpedia.org/resource/Sports_in_Monaco http://dbpedia.org/resource/Principality_of_Monaco http://dbpedia.org/resource/List_of_cities_in_Monaco http://dbpedia.org/resource/The_weather_in_Monaco http://dbpedia.org/resource/Monocco http://dbpedia.org/resource/Geography_of_Monaco http://dbpedia.org/resource/Protestantism_in_Monaco http://dbpedia.org/resource/Mónegue http://dbpedia.org/resource/Administrative_divisions_of_Monaco http://dbpedia.org/resource/Monaco/Transnational_issues http://dbpedia.org/resource/Princedom_of_Monaco http://dbpedia.org/resource/Principato_di_Monaco http://dbpedia.org/resource/Geography_of_monaco http://dbpedia.org/resource/Quarters_of_Monaco http://dbpedia.org/resource/Administrative_divisions_(Monaco) http://dbpedia.org/resource/Monacco http://dbpedia.org/resource/Wards_of_Monaco http://dbpedia.org/resource/Climate_of_Monaco http://dbpedia.org/resource/Capital_of_Monaco http://dbpedia.org/resource/Religion_in_Monaco http://dbpedia.org/resource/Principality_and_Diocese_of_Monaco http://dbpedia.org/resource/Extreme_points_of_monaco http://dbpedia.org/resource/Culture_of_Monaco http://dbpedia.org/resource/Munegu http://dbpedia.org/resource/Sport_in_Monaco http://dbpedia.org/resource/Monaco/Geography http://dbpedia.org/resource/Principauté_de_Monaco http://dbpedia.org/resource/Principatu_de_Múnegu http://dbpedia.org/resource/Monégasques"
3,28,Cologne,http://dbpedia.org/resource/RheinEnergieStadion,"http://dbpedia.org/resource/Cologne_(Germany) http://dbpedia.org/resource/DECGN http://dbpedia.org/resource/Köln,_Germany http://dbpedia.org/resource/Koeln,_Germany http://dbpedia.org/resource/Oppidum_Ubiorum http://dbpedia.org/resource/Kölle http://dbpedia.org/resource/Cologner http://dbpedia.org/resource/Keulen http://dbpedia.org/resource/City_of_Cologne http://dbpedia.org/resource/Colonge http://dbpedia.org/resource/Koeln http://dbpedia.org/resource/Cologne,_Germany http://dbpedia.org/resource/Cöln_am_Rhein http://dbpedia.org/resource/Koln,_Germany http://dbpedia.org/resource/Cologne http://dbpedia.org/resource/Koln http://dbpedia.org/resource/Köln_(region) http://dbpedia.org/resource/UN/LOCODE:DECGN http://dbpedia.org/resource/Augusta_Ubiorum http://dbpedia.org/resource/Cöln http://dbpedia.org/resource/Köln http://dbpedia.org/resource/Culture_of_Cologne http://dbpedia.org/resource/Coln http://dbpedia.org/resource/Colonia_Agrippinae"
3,29,ZÃ¼rich,http://dbpedia.org/resource/Zürich_Hauptbahnhof,http://dbpedia.org/resource/Zürich
3,31,Sydney,http://dbpedia.org/resource/Stadium_Australia,"http://dbpedia.org/resource/Sydneysiders http://dbpedia.org/resource/Sydneysider http://dbpedia.org/resource/Sydneians http://dbpedia.org/resource/Syndey http://dbpedia.org/resource/Sydney,_AU-NSW http://dbpedia.org/resource/Sydney,_New_South_Wales,_Australia http://dbpedia.org/resource/Sydney_(N.S.W.),_Australia http://dbpedia.org/resource/Greater_Sydney http://dbpedia.org/resource/UN/LOCODE:AUSYD http://dbpedia.org/resource/Sydney,_Australia http://dbpedia.org/resource/Sydney,_New_South_Wales http://dbpedia.org/resource/Capital_of_New_South_Wales http://dbpedia.org/resource/Sydney_(Australia) http://dbpedia.org/resource/Sydney,_NSW http://dbpedia.org/resource/Sydney http://dbpedia.org/resource/Sydney,_NSW,_Australia http://dbpedia.org/resource/Sydney_(city) http://dbpedia.org/resource/Sidney,_Australia http://dbpedia.org/resource/Sydney_(N.S.W.) http://dbpedia.org/resource/Ysdney http://dbpedia.org/resource/Sydneian http://dbpedia.org/resource/Sydney_Australia http://dbpedia.org/resource/Sydney_metropolitan_area"
3,32,ZÃ¼rich,http://dbpedia.org/resource/Zürich_Hauptbahnhof,http://dbpedia.org/resource/Zürich
